#Time, VDD, VSS, VSIG
0.0,1.0,0.0,0.9999999500000025
1.0000000000000002E-12,1.0,-1.1573569852694252E-19,0.9999999500000025
2.0000000000000004E-12,1.0,-1.736035275204527E-19,0.9999999500000025
4.000000000000001E-12,1.0,-9.723759752872565E-20,0.9999999500000025
8.000000000000001E-12,1.0,-3.333998417099792E-19,0.9999999500000025
1.0000000000000001E-11,1.0,-2.1196118561725303E-19,0.9999999500000025
1.1E-11,0.997561741782715,0.0024382582147369804,0.9756097073468198
1.2E-11,0.9929204303423091,0.007079569657527793,0.929152102403752
1.3000000000000002E-11,0.988503123276083,0.011496876724501663,0.884906764468081
1.4000000000000003E-11,0.9842991533318568,0.015700846670317594,0.8427683474868192
1.5715864575113666E-11,0.9773868447151624,0.02261315528133244,0.7734385445092262
1.6890221379098423E-11,0.9729932387519898,0.02700676124755707,0.7293192006693692
1.7890221379098426E-11,0.9694536915128676,0.030546308492149742,0.6937426549988367
1.8890221379098426E-11,0.9660898656663904,0.0339101343284665,0.659901550665181
2.0095273077361125E-11,0.9622572510305472,0.03774274897445573,0.6213035909546162
2.1380852278030328E-11,0.9584200470041105,0.0415799529927764,0.5826104218766538
2.2518539235030346E-11,0.9552285077608672,0.04477149224048533,0.5503855544933853
2.351853923503035E-11,0.9525727534667936,0.04742724653415933,0.5235374797938018
2.4589111361593688E-11,0.9498762995136981,0.05012370048124874,0.496243747185627
2.5589111361593687E-11,0.9474879606585801,0.05251203934875114,0.4720367363859861
2.658911136159369E-11,0.9452191836597793,0.05478081633094987,0.44901055543905105
2.758911136159369E-11,0.9430641358663123,0.05693586414069049,0.42710760288578253
2.858911136159369E-11,0.9410172690873242,0.058982730910118075,0.4062730870945484
2.958911136159369E-11,0.9390733058225168,0.06092669417919528,0.3864548891963656
3.058911136159369E-11,0.9372272259798373,0.0627727740174268,0.3676034327062279
3.158911136159369E-11,0.9354742543697447,0.06452574563416054,0.3496715595043693
3.258911136159369E-11,0.9338098487165261,0.06619015128076589,0.33261441186722207
3.3589111361593695E-11,0.9322296883418667,0.06777031165965813,0.3163893202529628
3.458911136159369E-11,0.9307296633110566,0.0692703366873999,0.3009556965609341
3.5589111361593695E-11,0.9293058641887062,0.07069413581282982,0.2862749325979244
3.65891113615937E-11,0.9279545722310006,0.07204542776868414,0.27231030349731195
3.7589111361593694E-11,0.9266722501034302,0.07332774989458016,0.2590268758494709
3.85891113615937E-11,0.9254555330251482,0.07454446697905288,0.2463914203136207
3.95891113615937E-11,0.9243012203354469,0.07569877966040915,0.2343723284925127
4.05891113615937E-11,0.9232062675283905,0.07679373247454796,0.2229395338620098
4.15891113615937E-11,0.9221677785808247,0.0778322214150282,0.21206443655776058
4.25891113615937E-11,0.9211829987677639,0.07881700123748571,0.20171983183081585
4.35891113615937E-11,0.9202493077076535,0.07975069228714322,0.19187984199321548
4.45891113615937E-11,0.9193642128799464,0.08063578712633059,0.1825198516833029
4.5589111361593705E-11,0.9185253433063622,0.0814746566861772,0.17361644628882922
4.65891113615937E-11,0.9177304437148196,0.08226955629266514,0.16514735337380854
4.7589111361593705E-11,0.9169773687906431,0.08302263120131463,0.15709138696259992
4.858911136159371E-11,0.9162640779277285,0.0837359220814168,0.1494283945418392
4.9589111361593705E-11,0.9155886299968902,0.08441136999388228,0.14213920664764265
5.058911136159371E-11,0.9149491786259026,0.08505082138276038,0.13520558891197132
5.2589111361593714E-11,0.9137705501298433,0.08622944986128958,0.12232887030717773
5.4261874350576583E-11,0.9128808553512828,0.0871191446576257,0.11250820480580213
5.611039139837473E-11,0.9119901217319067,0.08800987825951663,0.10256886803663354
5.790114857066329E-11,0.9112120998044401,0.08878790020396099,0.09377860589396421
5.969190574295185E-11,0.910510333367251,0.08948966662468744,0.08574167902429419
6.14826629152404E-11,0.9098782849227199,0.09012171508512769,0.07839352575422467
6.327342008752896E-11,0.9093099771754077,0.09069002281672191,0.07167511741779914
6.50641772598175E-11,0.9087999451449912,0.09120005486286495,0.06553248417159237
6.685493443210606E-11,0.9083431921393772,0.0916568078530662,0.05991628144797529
6.86456916043946E-11,0.9079351497414072,0.09206485026605227,0.054781393563818816
7.043644877668315E-11,0.9075716409874327,0.09242835900496368,0.050086571300373986
7.22272059489717E-11,0.9072488469355179,0.0927511530720064,0.04579410054296074
7.580872029354881E-11,0.9067103358860569,0.09328966410642985,0.03826742053153063
7.876470258774302E-11,0.9063615294536282,0.09363847055388325,0.033000741994020005
8.203351682507806E-11,0.9060605635109681,0.09393943648151125,0.02801455789262747
8.620471259584475E-11,0.9057848995267387,0.09421510048077603,0.02272359847467378
9.051494822563699E-11,0.9056058565088074,0.09439414348369957,0.018302775551952498
9.496650305640601E-11,0.9055119019306873,0.09448809807682086,0.014636960472005592
9.956165643010308E-11,0.905492465716323,0.09450753427614038,0.011620540683570024
1.0430268768867941E-10,0.9055379773067378,0.09446202270081057,0.009157785110719558
1.0919187617408626E-10,0.9056398733606178,0.09436012663182142,0.007162921912639377
1.1423150122827485E-10,0.9057905806974763,0.09420941931009592,0.00555996938759436
1.1942384219319645E-10,0.9059834784123155,0.09401652158010947,0.004282363587182524
1.2477117841080226E-10,0.9062128441164996,0.09378715589107839,0.0032724267988361207
1.3027578922304355E-10,0.9064737881558546,0.09352621183656187,0.0024807197089921234
1.359399539718715E-10,0.9067621803283151,0.09323781967926939,0.0018653171230974194
1.4176595199923742E-10,0.9070745722345662,0.0929254277578521,0.0013910429764667108
1.4775606264709251E-10,0.9074081188634775,0.09259188114410492,0.001028695415897142
